No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CANDELS J141930.35+524953.2</a>",214.87650,52.83146,G,126213.00,0.421,PUN,,0.006,1,0,0,1,1,0,0
2,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CANDELS J141930.23+524954.8</a>",214.87597,52.83189,G,51864.00,0.173,PUN,,0.026,1,0,0,1,1,0,0
3,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CANDELS J141930.55+524953.9</a>",214.87731,52.83166,G,512945.00,1.711,PUN,,0.034,1,0,0,1,1,0,0
4,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CANDELS J141930.06+524954.0</a>",214.87527,52.83169,G,226343.00,0.755,PUN,,0.041,1,0,0,1,1,0,0
